Year,Annual_Mean_Abs,Annual_Median_Abs,Annual_Std_Abs,Hemisphere,Warming_Trend,Deviation_from_Trend
1913,13.62,13.62,0.08,Southern,13.677404255319146,-0.05740425531914717
1914,13.71,13.66,0.16,Northern,13.662755679954516,0.0472443200454844
1914,13.78,13.78,0.07,Southern,13.683823708206685,0.09617629179331466
1915,13.8,13.79,0.09,Northern,13.671229363014147,0.12877063698585367
1915,13.76,13.73,0.12,Southern,13.690243161094223,0.06975683890577677
1916,13.54,13.58,0.27,Northern,13.679703046073781,-0.13970304607378203
1916,13.59,13.62,0.13,Southern,13.696662613981761,-0.10666261398176147
1917,13.36,13.34,0.24,Northern,13.688176729133412,-0.32817672913341234
1917,13.54,13.53,0.18,Southern,13.7030820668693,-0.1630820668693005
1918,13.53,13.52,0.18,Northern,13.696650412193042,-0.166650412193043
1918,13.69,13.64,0.13,Southern,13.709501519756836,-0.01950151975683667
1919,13.56,13.54,0.13,Northern,13.705124095252673,-0.14512409525267245
1919,13.69,13.63,0.14,Southern,13.715920972644374,-0.025920972644374984
1920,13.64,13.66,0.18,Northern,13.713597778312307,-0.07359777831230652
1920,13.64,13.65,0.11,Southern,13.722340425531913,-0.08234042553191223
1921,13.83,13.8,0.13,Northern,13.722071461371938,0.1079285386280624
1921,13.61,13.62,0.11,Southern,13.728759878419451,-0.11875987841945168
1922,13.65,13.68,0.15,Northern,13.730545144431568,-0.0805451444315679
1922,13.59,13.6,0.09,Southern,13.73517933130699,-0.14517933130698957
1923,13.71,13.69,0.24,Northern,13.739018827491199,-0.029018827491197996
1923,13.59,13.57,0.08,Southern,13.741598784194528,-0.15159878419452788
1924,13.75,13.71,0.14,Northern,13.74749251055083,0.0025074894491705635
1924,13.54,13.55,0.12,Southern,13.748018237082064,-0.20801823708206513
1925,13.79,13.74,0.19,Northern,13.755966193610464,0.03403380638953557
1925,13.6,13.58,0.12,Southern,13.754437689969603,-0.15443768996960294
1926,13.94,13.86,0.25,Northern,13.764439876670094,0.17556012332990534
1926,13.69,13.68,0.07,Southern,13.760857142857141,-0.0708571428571414
1927,13.79,13.8,0.21,Northern,13.772913559729725,0.017086440270274394
1927,13.6,13.61,0.05,Southern,13.76727659574468,-0.16727659574467957
1928,13.82,13.8,0.18,Northern,13.781387242789355,0.038612757210644943
1928,13.59,13.61,0.07,Southern,13.773696048632218,-0.18369604863221767
1929,13.59,13.61,0.25,Northern,13.789860925848986,-0.19986092584898607
1929,13.51,13.5,0.09,Southern,13.780115501519754,-0.2701155015197543
1930,13.91,13.92,0.17,Northern,13.79833460890862,0.11166539109138007
1930,13.6,13.6,0.1,Southern,13.786534954407292,-0.18653495440729273
1931,13.95,13.98,0.17,Northern,13.80680829196825,0.14319170803174863
1931,13.67,13.68,0.07,Southern,13.79295440729483,-0.12295440729483076
1932,13.84,13.78,0.19,Northern,13.815281975027881,0.024718024972118613
1932,13.63,13.62,0.09,Southern,13.799373860182369,-0.16937386018236822
1933,13.64,13.66,0.13,Northern,13.823755658087512,-0.18375565808751126
1933,13.57,13.58,0.04,Southern,13.805793313069907,-0.23579331306990703
1934,13.89,13.88,0.21,Northern,13.832229341147142,0.05777065885285815
1934,13.64,13.63,0.08,Southern,13.812212765957446,-0.17221276595744506
1935,13.81,13.8,0.27,Northern,13.840703024206777,-0.030703024206776064
1935,13.59,13.58,0.07,Southern,13.818632218844982,-0.2286322188449823
1936,13.86,13.94,0.19,Northern,13.849176707266407,0.010823292733592282
1936,13.63,13.62,0.1,Southern,13.82505167173252,-0.1950516717325197
1937,14.02,14.04,0.17,Northern,13.857650390326038,0.16234960967396184
1937,13.71,13.69,0.06,Southern,13.831471124620059,-0.12147112462005794
1938,14.02,14.09,0.19,Northern,13.866124073385668,0.15387592661433125
1938,13.7,13.69,0.05,Southern,13.837890577507597,-0.1378905775075978
1939,13.98,13.91,0.26,Northern,13.874597756445299,0.10540224355470151
1939,13.76,13.75,0.08,Southern,13.844310030395135,-0.08431003039513563
1940,14.07,14.1,0.15,Northern,13.883071439504933,0.18692856049506723
1940,13.98,13.97,0.08,Southern,13.850729483282672,0.12927051671732848
1941,14.13,14.08,0.13,Northern,13.891545122564564,0.23845487743543714
1941,14.06,14.07,0.09,Southern,13.85714893617021,0.20285106382979023
1942,14.0,14.0,0.12,Northern,13.900018805624194,0.09998119437580577
1942,13.9,13.9,0.13,Southern,13.863568389057749,0.03643161094225178
1943,14.05,14.06,0.2,Northern,13.908492488683825,0.1415075113161759
1943,13.88,13.87,0.09,Southern,13.869987841945287,0.010012158054713893
1944,14.17,14.11,0.17,Northern,13.916966171743455,0.2530338282565445
1944,14.05,14.08,0.09,Southern,13.876407294832825,0.1735927051671755
1945,13.99,14.0,0.15,Northern,13.92543985480309,0.06456014519691067
1945,14.0,13.98,0.09,Southern,13.882826747720364,0.11717325227963649
1946,13.93,13.92,0.22,Northern,13.93391353786272,-0.003913537862720418
1946,13.73,13.73,0.1,Southern,13.8892462006079,-0.15924620060789962
1947,13.96,13.9,0.17,Northern,13.94238722092235,0.01761277907765013
1947,13.76,13.78,0.08,Southern,13.895665653495438,-0.13566565349543858
1948,13.89,13.92,0.19,Northern,13.950860903981981,-0.06086090398198074
1948,13.7,13.71,0.06,Southern,13.902085106382977,-0.2020851063829774
1949,13.87,13.87,0.14,Northern,13.959334587041615,-0.08933458704161623
1949,13.71,13.72,0.05,Southern,13.908504559270515,-0.19850455927051414
1950,13.73,13.74,0.15,Northern,13.967808270101246,-0.2378082701012456
1950,13.7,13.7,0.12,Southern,13.914924012158053,-0.214924012158054
1951,13.94,14.0,0.27,Northern,13.976281953160877,-0.03628195316087712
1951,13.73,13.76,0.11,Southern,13.92134346504559,-0.1913434650455894
1952,13.95,14.04,0.15,Northern,13.984755636220507,-0.034755636220507924
1952,13.86,13.88,0.1,Southern,13.927762917933128,-0.06776291793312872
1953,14.13,14.12,0.1,Northern,13.993229319280138,0.13677068071986298
1953,13.82,13.82,0.05,Southern,13.934182370820666,-0.11418237082066618
1954,13.85,13.84,0.15,Northern,14.001703002339772,-0.1517030023397723
1954,13.65,13.64,0.06,Southern,13.940601823708205,-0.2906018237082044
1955,13.79,13.78,0.24,Northern,14.010176685399403,-0.22017668539940338
1955,13.7,13.7,0.07,Southern,13.947021276595743,-0.2470212765957438
1956,13.64,13.62,0.07,Northern,14.018650368459033,-0.37865036845903255
1956,13.74,13.72,0.1,Southern,13.953440729483281,-0.2134407294832812
1957,13.94,14.0,0.14,Northern,14.027124051518664,-0.0871240515186642
1957,13.95,13.92,0.1,Southern,13.959860182370818,-0.009860182370818649
1958,14.07,14.01,0.19,Northern,14.035597734578294,0.03440226542170599
1958,13.87,13.9,0.11,Southern,13.966279635258356,-0.09627963525835703
1959,14.02,14.0,0.11,Northern,14.044071417637928,-0.02407141763792886
1959,13.84,13.8,0.1,Southern,13.972699088145895,-0.1326990881458947
1960,13.99,14.0,0.23,Northern,14.052545100697559,-0.06254510069755881
1960,13.78,13.75,0.1,Southern,13.979118541033433,-0.19911854103343352
1961,13.99,13.98,0.12,Northern,14.06101878375719,-0.0710187837571894
1961,13.92,13.9,0.1,Southern,13.985537993920971,-0.06553799392097126
1962,14.06,14.05,0.14,Northern,14.06949246681682,-0.0094924668168197
1962,13.82,13.8,0.1,Southern,13.991957446808508,-0.17195744680850744
1963,14.06,14.02,0.2,Northern,14.07796614987645,-0.017966149876450288
1963,13.88,13.8,0.17,Southern,13.998376899696046,-0.11837689969604526
1964,13.71,13.68,0.11,Northern,14.086439832936085,-0.3764398329360841
1964,13.7,13.7,0.14,Southern,14.004796352583584,-0.30479635258358506
1965,13.77,13.76,0.12,Northern,14.094913515995716,-0.32491351599571594
1965,13.82,13.8,0.1,Southern,14.011215805471123,-0.19121580547112238
1966,13.89,13.91,0.12,Northern,14.103387199055346,-0.21338719905534553
1966,13.81,13.82,0.11,Southern,14.017635258358661,-0.20763525835866048
1967,13.93,13.96,0.18,Northern,14.111860882114977,-0.18186088211497697
1967,13.82,13.79,0.07,Southern,14.0240547112462,-0.204054711246199
1968,13.84,13.84,0.2,Northern,14.120334565174607,-0.2803345651746074
1968,13.81,13.78,0.14,Southern,14.030474164133736,-0.22047416413373533
1969,13.89,13.94,0.22,Northern,14.128808248234241,-0.23880824823424085
1969,14.05,14.06,0.11,Southern,14.036893617021274,0.013106382978726572
1970,13.87,13.87,0.14,Northern,14.137281931293872,-0.2672819312938728
1970,13.99,13.99,0.13,Southern,14.043313069908812,-0.05331306990881224
1971,13.74,13.76,0.07,Northern,14.145755614353503,-0.4057556143535024
1971,13.87,13.89,0.1,Southern,14.04973252279635,-0.17973252279635155
1972,13.72,13.79,0.19,Northern,14.154229297413133,-0.43422929741313254
1972,14.11,14.1,0.13,Southern,14.056151975683889,0.053848024316110354
1973,14.0,13.96,0.16,Northern,14.162702980472764,-0.16270298047276377
1973,14.13,14.12,0.15,Southern,14.062571428571427,0.06742857142857339
1974,13.7,13.71,0.11,Northern,14.171176663532398,-0.4711766635323986
1974,13.94,13.96,0.14,Southern,14.068990881458964,-0.12899088145896442
1975,13.84,13.84,0.13,Northern,14.179650346592028,-0.33965034659202864
1975,13.93,13.93,0.13,Southern,14.075410334346502,-0.14541033434650252
1976,13.69,13.66,0.15,Northern,14.188124029651659,-0.4981240296516596
1976,13.9,13.84,0.19,Southern,14.08182978723404,-0.1818297872340402
1977,14.01,14.02,0.14,Northern,14.19659771271129,-0.1865977127112899
1977,14.13,14.18,0.18,Southern,14.088249240121579,0.04175075987842192
1978,13.92,13.92,0.12,Northern,14.205071395770924,-0.2850713957709239
1978,14.01,14.04,0.12,Southern,14.094668693009117,-0.08466869300911739
1979,13.98,13.95,0.21,Northern,14.213545078830554,-0.23354507883055398
1979,14.14,14.13,0.12,Southern,14.101088145896654,0.038911854103346855
1980,14.06,14.04,0.1,Northern,14.222018761890185,-0.1620187618901845
1980,14.28,14.28,0.12,Southern,14.107507598784192,0.17249240121580733
1981,14.28,14.24,0.24,Northern,14.230492444949816,0.04950755505018378
1981,14.17,14.16,0.14,Southern,14.11392705167173,0.05607294832826959
1982,13.95,13.95,0.13,Northern,14.238966128009446,-0.2889661280094469
1982,14.12,14.12,0.15,Southern,14.120346504559269,-0.0003465045592694338
1983,14.16,14.12,0.17,Northern,14.24743981106908,-0.08743981106908016
1983,14.28,14.31,0.17,Southern,14.126765957446807,0.1532340425531924
1984,13.94,13.96,0.19,Northern,14.255913494128711,-0.3159134941287114
1984,14.18,14.18,0.11,Southern,14.133185410334345,0.04681458966565444
1985,13.88,13.91,0.12,Northern,14.264387177188341,-0.3843871771883407
1985,14.15,14.16,0.08,Southern,14.139604863221882,0.010395136778118541
1986,14.02,14.0,0.13,Northern,14.272860860247972,-0.2528608602479725
1986,14.14,14.14,0.11,Southern,14.14602431610942,-0.0060243161094195585
1987,14.16,14.15,0.18,Northern,14.281334543307603,-0.12133454330760252
1987,14.31,14.3,0.1,Southern,14.152443768996958,0.15755623100304206
1988,14.27,14.32,0.15,Northern,14.289808226367237,-0.019808226367237225
1988,14.34,14.36,0.15,Southern,14.158863221884497,0.1811367781155031
1989,14.19,14.18,0.11,Northern,14.298281909426867,-0.10828190942686788
1989,14.19,14.2,0.13,Southern,14.165282674772035,0.024717325227964437
1990,14.41,14.37,0.22,Northern,14.306755592486498,0.10324440751350217
1990,14.27,14.27,0.11,Southern,14.171702127659572,0.09829787234042797
1991,14.31,14.32,0.1,Northern,14.315229275546129,-0.005229275546128065
1991,14.32,14.34,0.12,Southern,14.17812158054711,0.14187841945289037
1992,14.02,13.97,0.27,Northern,14.32370295860576,-0.3037029586057596
1992,14.22,14.23,0.11,Southern,14.184541033434648,0.03545896656535241
1993,14.09,14.1,0.2,Northern,14.332176641665393,-0.24217664166539343
1993,14.19,14.18,0.07,Southern,14.190960486322187,-0.0009604863221870374
1994,14.26,14.26,0.14,Northern,14.340650324725024,-0.08065032472502409
1994,14.16,14.18,0.12,Southern,14.197379939209725,-0.03737993920972471
1995,14.48,14.46,0.23,Northern,14.349124007784654,0.13087599221534596
1995,14.21,14.24,0.11,Southern,14.203799392097263,0.006200607902737687
1996,14.18,14.18,0.15,Northern,14.357597690844285,-0.17759769084428534
1996,14.29,14.3,0.16,Southern,14.2102188449848,0.07978115501519945
1997,14.43,14.42,0.11,Northern,14.366071373903916,0.06392862609608407
1997,14.31,14.22,0.19,Southern,14.216638297872338,0.09336170212766248
1998,14.63,14.63,0.14,Northern,14.37454505696355,0.255454943036451
1998,14.42,14.44,0.18,Southern,14.223057750759876,0.1969422492401236
1999,14.4,14.32,0.2,Northern,14.38301874002318,0.016981259976819985
1999,14.19,14.22,0.1,Southern,14.229477203647415,-0.03947720364741514
2000,14.4,14.34,0.24,Northern,14.391492423082811,0.008507576917189397
2000,14.19,14.18,0.09,Southern,14.235896656534953,-0.04589665653495345
2001,14.53,14.52,0.13,Northern,14.399966106142442,0.13003389385755781
2001,14.33,14.33,0.09,Southern,14.24231610942249,0.08768389057751058
2002,14.61,14.54,0.23,Northern,14.408439789202072,0.2015602107979273
2002,14.43,14.43,0.12,Southern,14.248735562310028,0.1812644376899719
2003,14.63,14.58,0.16,Northern,14.416913472261706,0.2130865277382945
2003,14.38,14.4,0.06,Southern,14.255155015197566,0.12484498480243467
2004,14.57,14.54,0.17,Northern,14.425387155321337,0.14461284467866342
2004,14.3,14.33,0.16,Southern,14.261574468085104,0.03842553191489628
2005,14.73,14.71,0.1,Northern,14.433860838380967,0.296139161619033
2005,14.41,14.42,0.05,Southern,14.267993920972643,0.1420060790273574
2006,14.68,14.65,0.15,Northern,14.442334521440598,0.23766547855940168
2006,14.35,14.36,0.12,Southern,14.274413373860181,0.07558662613981859
2007,14.71,14.64,0.21,Northern,14.450808204500232,0.2591917954997687
2007,14.36,14.37,0.13,Southern,14.280832826747718,0.07916717325228184
2008,14.54,14.49,0.22,Northern,14.459281887559863,0.08071811244013638
2008,14.29,14.28,0.14,Southern,14.287252279635256,0.0027477203647432447
2009,14.59,14.58,0.07,Northern,14.467755570619493,0.1222444293805065
2009,14.47,14.5,0.13,Southern,14.293671732522794,0.17632826747720642
2010,14.77,14.75,0.19,Northern,14.476229253679124,0.29377074632087563
2010,14.43,14.44,0.13,Southern,14.300091185410333,0.1299088145896672
2011,14.6,14.58,0.1,Northern,14.484702936738755,0.11529706326124511
2011,14.36,14.31,0.14,Southern,14.30651063829787,0.05348936170212859
2012,14.66,14.71,0.16,Northern,14.493176619798389,0.16682338020161147
2012,14.37,14.39,0.13,Southern,14.312930091185407,0.05706990881459184
2013,14.65,14.64,0.11,Northern,14.50165030285802,0.1483496971419811
2013,14.44,14.42,0.12,Southern,14.319349544072946,0.12065045592705381
2014,14.8,14.78,0.14,Northern,14.51012398591765,0.28987601408235086
2014,14.46,14.41,0.18,Southern,14.325768996960484,0.13423100303951685
2015,15.03,15.03,0.16,Northern,14.51859766897728,0.5114023310227189
2015,14.51,14.47,0.13,Southern,14.332188449848022,0.17781155015197747
2016,15.18,15.0,0.33,Northern,14.527071352036911,0.6529286479630887
2016,14.61,14.62,0.12,Southern,14.33860790273556,0.2713920972644388
2017,15.03,14.98,0.21,Northern,14.535545035096545,0.4944549649034542
2017,14.57,14.6,0.14,Southern,14.345027355623099,0.22497264437690134
2018,14.89,14.82,0.16,Northern,14.544018718156176,0.3459812818438248
2018,14.55,14.56,0.11,Southern,14.351446808510635,0.19855319148936523
2019,15.02,15.01,0.16,Northern,14.552492401215806,0.46750759878419323
2019,14.63,14.67,0.09,Southern,14.357866261398174,0.272133738601827
